Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr8:143751785-143752051,"JRK, PSCA",In Gene,↑,15.37%,10,2.21E-05,0.279,1
Chr12:133211591-133211791,POLE,In Gene,↑,18.74%,3,2.92E-05,0.329,1
Chr5:179740955-179741121,GFPT2,In Gene,↑,13.36%,17,4.00E-05,0.443,1
Chr17:406226-406502,VPS53,5406,↑,9.55%,27,7.57E-05,0.673,1
Chr6:29648605-29649124,ZFP57,In Gene,↑,10.33%,22,8.77E-05,0.716,1
Chr19:422580-422593,SHC2,In Gene,↑,14.75%,3,1.32E-04,0.738,1
Chr19:55477562-55477850,"GP6, NLRP2, NLRP7, RDH13",In Gene,↑,11.51%,11,1.36E-04,0.779,0
Chr4:106553214-106553473,ARHGEF38,In Gene,↓,13.18%,4,1.72E-04,0.79,1
Chr11:7110197-7110305,RBMXL2,In Gene,↑,9.43%,16,2.22E-04,0.922,1
Chr6:32427718-32427869,HCG23,6578,↑,10.82%,10,2.27E-04,0.886,1
Chr8:2075494-2075664,MYOM2,In Gene,↑,7.88%,18,2.28E-04,0.952,1
Chr1:214158772-214158847,PROX1,In Gene,↓,10.67%,10,2.47E-04,0.897,1
Chr9:140311778-140311846,EXD3,In Gene,↑,10.21%,10,3.17E-04,0.94,1
Chr4:1044467-1044671,RNF212,5367,↓,9.02%,13,3.49E-04,0.962,1
Chr3:192289203-192289331,FGF12,In Gene,↑,7.59%,15,3.53E-04,0.987,0
Chr5:1857478-1857493,IRX4,20048,↑,12.67%,3,3.74E-04,0.942,0
Chr6:31084970-31085035,"CDSN, PSORS1C1",In Gene,↑,12.44%,3,4.32E-04,0.955,1
Chr13:20716933-20717002,GJA3,In Gene,↑,10.02%,8,4.82E-04,0.967,1
Chr4:185189223-185189404,ENPP6,46840,↓,8.85%,11,5.13E-04,0.984,1
Chr20:2187534-2187600,STK35,29850,↓,11.35%,4,5.49E-04,0.96,1
Chr8:1365389-1365503,DLGAP2,84029,↓,8.22%,11,6.22E-04,0.994,1
Chr15:23892516-23892597,MAGEL2,1341,↓,9.60%,7,7.90E-04,0.985,1
Chr1:208391255-208391329,PLXNA2,In Gene,↑,10.33%,5,8.31E-04,0.985,1
Chr7:151411527-151411556,PRKAG2,In Gene,↓,10.31%,5,8.44E-04,0.985,1
Chr21:40757933-40758005,WRB,In Gene,↑,10.29%,5,8.57E-04,0.985,1
Chr10:135341973-135342051,"CYP2E1, SPRN",In Gene,↑,7.41%,10,8.78E-04,0.998,1
Chr3:73159932-73160088,PPP4R2,41582,↑,7.26%,10,8.86E-04,0.998,0
Chr18:77918143-77918234,PARD6G,In Gene,↑,8.40%,9,9.06E-04,0.996,0
Chr19:2251688-2251714,AMH,In Gene,↓,9.80%,6,9.15E-04,0.989,0
Chr7:76629242-76629331,"DTX2P1-UPK3BP1-PMS2P11, UPK3B",In Gene,↓,8.23%,9,9.62E-04,0.996,0
Chr4:3827957-3827995,ADRA2C,57706,↓,10.49%,4,1.04E-03,0.989,1
Chr9:129038852-129038894,MVB12B,50234,↑,10.48%,4,1.05E-03,0.989,1
Chr5:1850049-1850105,IRX4,27436,↑,7.89%,9,1.05E-03,0.999,0
Chr13:114965631-114965687,CDC16,34675,↑,9.11%,7,1.06E-03,0.993,1
Chr8:62646142-62646297,MIR4470,18724,↓,10.41%,4,1.10E-03,0.99,0
Chr5:101119528-101119662,SLCO4C1,450028,↑,9.02%,7,1.11E-03,0.994,0
Chr6:42672059-42672212,PRPH2,In Gene,↑,9.51%,6,1.12E-03,0.991,1
Chr10:103534480-103534547,FGF8,In Gene,↓,8.15%,8,1.26E-03,0.997,0
Chr15:28013971-28014083,OCA2,In Gene,↓,10.23%,4,1.28E-03,0.992,0
Chr1:18902087-18902179,PAX7,55321,↓,10.87%,3,1.31E-03,0.993,0
Chr1:1886502-1886520,TMEM52,35790,↑,10.86%,3,1.32E-03,0.993,1
Chr1:27961561-27961570,FGR,In Gene,↓,10.83%,3,1.35E-03,0.993,1
Chr14:104902676-104902744,TMEM179,38271,↑,7.82%,8,1.38E-03,0.999,0
Chr11:2154322-2154381,"IGF2, INS-IGF2",In Gene,↑,8.60%,7,1.40E-03,0.997,1
Chr5:1857553-1857594,IRX4,19947,↑,8.57%,7,1.42E-03,0.997,0
Chr19:291963-292022,PPAP2C,570,↑,8.49%,7,1.48E-03,0.998,1
Chr10:30842964-30843053,LYZL2,57665,↑,8.47%,7,1.50E-03,0.998,0
Chr1:114525350-114525482,OLFML3,474,↓,8.46%,7,1.50E-03,0.998,0
Chr4:1044759-1044798,RNF212,5240,↓,9.40%,5,1.65E-03,0.995,1
Chr2:72079487-72079529,DYSF,165589,↑,9.30%,5,1.77E-03,0.995,1
Chr21:45160887-45160958,PDXK,In Gene,↑,9.29%,5,1.77E-03,0.996,1
Chr4:1029328-1029436,FGFRL1,8643,↑,7.99%,7,1.82E-03,0.999,0
Chr12:133069195-133069285,FBRSL1,In Gene,↑,9.77%,4,1.84E-03,0.995,1
Chr7:393725-393757,WI2-2373I1.2,59337,↓,9.22%,5,1.87E-03,0.996,1
