ID,Difference in M values (SZ - control),P.Value,adj.P.Val,CHR,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Group
cg01792403,0.800338665,8.76E-11,3.37E-05,13,NA,,,chr13:100620241-100624348,S_Shelf,NA,
cg03322161,-0.408025393,8.46E-09,0.001629628,6,NA,,,chr6:161188084-161188639,Island,NA,
cg04990056,-0.695791327,1.41E-08,0.001814572,1,NA,STX12,1stExon,chr1:28099628-28100031,Island,NA,Promoter_Associated
cg01132502,0.674001626,1.92E-08,0.001851229,5,NA,TBC1D9B;TBC1D9B,TSS1500;TSS1500,chr5:179334344-179335115,S_Shore,NA,Promoter_Associated
cg03060590,0.473689908,2.43E-08,0.001872132,7,NA,,,,,NA,
cg04591034,3.250903132,5.93E-08,0.002994046,5,NA,COL23A1,TSS1500,chr5:178016558-178017670,S_Shore,TRUE,Promoter_Associated
cg15921587,-0.397988057,6.06E-08,0.002994046,2,NA,EMX1,TSS1500,chr2:73143055-73148260,Island,TRUE,Unclassified
cg25845367,0.989842505,6.65E-08,0.002994046,13,NA,,,chr13:100620241-100624348,S_Shelf,NA,
cg10967735,0.500481181,7.00E-08,0.002994046,10,NA,CPEB3,Body,,,NA,
cg06938235,-0.634641248,8.35E-08,0.003079456,12,NA,PA2G4;PA2G4,1stExon;5'UTR,chr12:56497868-56499047,Island,NA,Promoter_Associated
cg08758916,-0.845326921,9.19E-08,0.003079456,22,NA,TNRC6B,TSS200,chr22:40440852-40441810,N_Shore,NA,Promoter_Associated
cg08939481,0.583070835,9.59E-08,0.003079456,14,NA,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,chr14:21492735-21494270,Island,NA,
cg11719952,0.737105942,1.19E-07,0.003511825,11,NA,KLHL35,Body,chr11:75140737-75141849,N_Shore,NA,Promoter_Associated_Cell_type_specific
cg01485948,-0.408868291,1.45E-07,0.00384698,17,NA,MNT,Body,chr17:2295922-2297516,Island,TRUE,
cg13797425,0.74147583,1.50E-07,0.00384698,14,NA,HSP90AA1;HSP90AA1,TSS1500;Body,chr14:102552721-102554068,S_Shore,NA,
cg00175441,0.654207862,1.94E-07,0.004664472,17,NA,TNRC6C;TNRC6C,Body;Body,chr17:76100679-76101115,N_Shore,NA,
cg11535522,-0.4931275,2.11E-07,0.004786226,22,NA,PPPDE2;XRCC6,TSS1500;TSS200,chr22:42016301-42017784,Island,NA,Promoter_Associated
cg03024183,-0.311454246,2.26E-07,0.004845553,8,NA,ASH2L;ASH2L,Body;TSS200,chr8:37962449-37963453,Island,NA,Promoter_Associated
cg23737366,0.480980959,2.57E-07,0.005213547,1,NA,SLC2A5,TSS1500,,,NA,
cg21528620,-0.481741927,3.02E-07,0.005822562,1,NA,KCNC4;KCNC4;KCNC4,TSS1500;TSS1500;TSS1500,chr1:110752256-110754794,Island,NA,
cg18606843,0.691388755,3.63E-07,0.006052811,7,NA,,,,,NA,
cg20374595,0.931396424,3.80E-07,0.006052811,13,NA,,,chr13:100631752-100635526,N_Shelf,NA,
cg07851057,-0.436844913,4.11E-07,0.006052811,5,NA,BDP1;BDP1,5'UTR;1stExon,chr5:70751401-70751887,Island,NA,Promoter_Associated
cg18543610,0.683473133,4.25E-07,0.006052811,13,NA,,,chr13:100631752-100635526,N_Shelf,NA,
cg14965979,-0.425802406,4.42E-07,0.006052811,2,NA,PREPL;PREPL;C2orf34;PREPL;PREPL;PREPL;PREPL;PREPL,TSS1500;1stExon;TSS200;5'UTR;5'UTR;1stExon;TSS1500;TSS1500,chr2:44588954-44589358,Island,NA,Promoter_Associated
cg04839207,-0.488719614,4.53E-07,0.006052811,1,NA,SERTAD4,5'UTR,chr1:210405952-210407250,S_Shelf,TRUE,
cg25369560,-0.295197003,4.57E-07,0.006052811,13,NA,GJB6;GJB6;GJB6;GJB6,TSS200;TSS200;TSS200;TSS1500,chr13:20806016-20806867,Island,TRUE,
cg24531267,-0.414302227,4.60E-07,0.006052811,20,NA,CEP250,TSS200,chr20:34042854-34043585,Island,NA,Promoter_Associated
