Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr4:106553214-106553473,ARHGEF38,In Gene,↓,23.42%,4,5.46E-07,0.009,1
Chr16:55794205-55794964,CES1P1,504,↓,13.77%,37,3.03E-06,0.05,1
Chr8:143751785-143752051,"JRK, PSCA",In Gene,↑,16.01%,10,9.34E-06,0.142,1
Chr8:1365082-1365750,DLGAP2,83782,↓,13.72%,25,1.15E-05,0.174,1
Chr21:47604053-47605117,SPATC1L,337,↑,10.83%,34,1.59E-05,0.231,1
Chr14:70690437-70690577,ADAM21P1,21631,↑,14.80%,11,1.68E-05,0.23,0
Chr21:47581081-47581470,SPATC1L,In Gene,↓,10.65%,33,2.21E-05,0.304,1
Chr2:242989842-242989882,PDCD1,188782,↑,14.73%,5,3.99E-05,0.43,0
Chr9:94476690-94476729,ROR2,In Gene,↑,14.20%,6,4.56E-05,0.472,1
Chr20:61660617-61660963,LINC00029,4606,↓,9.76%,25,6.39E-05,0.618,1
Chr7:4244279-4244563,SDK1,In Gene,↑,11.18%,16,8.18E-05,0.673,1
Chr6:32526335-32526365,"HLA-DRB1, HLA-DRB6",In Gene,↑,13.81%,3,1.73E-04,0.852,1
Chr13:110521957-110522056,IRS2,83042,↓,10.72%,10,1.75E-04,0.845,1
Chr22:32601167-32601298,RFPL2,449,↑,10.49%,10,2.02E-04,0.874,1
Chr8:58055499-58055600,LINC00588,136502,↑,10.40%,10,2.14E-04,0.886,1
Chr7:76129361-76129473,DTX2,In Gene,↓,9.96%,12,2.17E-04,0.904,0
Chr16:55866958-55867072,CES1,In Gene,↓,11.08%,7,2.29E-04,0.879,0
Chr5:178266420-178266584,ZNF354B,20370,↓,10.73%,8,2.37E-04,0.893,1
Chr20:61660297-61660514,LINC00029,5055,↓,9.91%,10,2.90E-04,0.928,1
Chr7:16890838-16890880,AGR3,8149,↑,11.08%,6,2.97E-04,0.915,1
Chr6:170055140-170055333,WDR27,In Gene,↑,9.83%,10,3.04E-04,0.937,1
Chr6:32551950-32552027,"HLA-DQB1, HLA-DRB1",In Gene,↑,10.90%,6,3.37E-04,0.932,1
Chr1:2121503-2121613,C1orf86,In Gene,↓,8.38%,13,3.63E-04,0.984,1
Chr7:158750986-158751104,WDR60,1548,↑,7.67%,13,4.11E-04,0.993,1
Chr5:172982396-172982498,BOD1,52019,↓,8.45%,12,4.22E-04,0.984,0
Chr21:43109477-43109501,LINC00111,In Gene,↑,11.36%,4,4.42E-04,0.949,1
Chr19:37463437-37463630,ZNF568,In Gene,↑,8.19%,12,4.53E-04,0.992,0
Chr13:114965631-114965705,CDC16,34657,↑,9.43%,9,4.66E-04,0.973,1
Chr8:70907050-70907140,PRDM14,56746,↑,7.38%,12,5.08E-04,0.996,0
Chr11:67383550-67383610,DOC2GP,In Gene,↑,10.28%,6,5.24E-04,0.968,1
Chr1:36787110-36787146,SH3D21,In Gene,↓,10.56%,5,5.65E-04,0.976,1
Chr18:77918110-77918234,PARD6G,In Gene,↑,8.03%,11,5.67E-04,0.994,0
Chr1:205818856-205819059,PM20D1,In Gene,↑,9.36%,8,5.84E-04,0.98,1
Chr9:140356609-140356614,PNPLA7,In Gene,↓,11.65%,3,6.17E-04,0.985,0
Chr6:32427718-32427869,HCG23,6578,↑,8.02%,10,6.98E-04,0.995,1
Chr13:25670124-25670188,PABPC3,112,↑,7.98%,10,7.03E-04,0.995,0
Chr19:489946-490002,MADCAM1,In Gene,↑,9.44%,7,7.11E-04,0.988,1
Chr12:9601634-9601720,DDX12P,809,↓,9.72%,6,7.87E-04,0.988,1
Chr13:113705560-113705581,MCF2L,In Gene,↓,10.56%,4,8.19E-04,0.991,1
Chr1:28573033-28573053,ATPIF1,In Gene,↑,11.23%,3,8.36E-04,0.996,1
Chr9:130955437-130955464,CIZ1,In Gene,↑,9.78%,5,1.03E-03,0.995,0
Chr2:3486958-3487044,TRAPPC12,In Gene,↑,8.24%,8,1.05E-03,0.998,0
Chr7:143208569-143208628,EPHA1-AS1,In Gene,↑,8.20%,8,1.07E-03,0.998,1
Chr1:25893406-25893510,LDLRAP1,In Gene,↑,8.76%,7,1.09E-03,0.997,1
Chr20:61715783-61715796,HAR1B,11049,↓,10.86%,3,1.11E-03,0.997,1
Chr8:17509224-17509254,MTUS1,In Gene,↑,10.85%,3,1.12E-03,0.997,1
Chr15:31685454-31685485,KLF13,In Gene,↑,9.66%,5,1.12E-03,0.997,0
Chr11:67383715-67383797,DOC2GP,13,↑,8.67%,7,1.14E-03,0.998,1
Chr5:176294001-176294069,UNC5A,In Gene,↓,10.08%,4,1.20E-03,0.996,1
Chr5:415644-415780,AHRR,In Gene,↑,7.72%,8,1.24E-03,1,1
Chr10:80999781-80999844,ZMIZ1,In Gene,↓,7.48%,8,1.31E-03,1,1
Chr4:77723058-77723116,SHROOM3,18652,↓,9.45%,5,1.31E-03,0.997,0
